sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,74.6,85.6,79.1,96.7,0.9,35.5,9.5,28.5,1.2
1,77.0,75.3,59.1,96.3,0.7,26.0,18.0,32.0,1.0
2,69.0,92.8,91.7,97.8,0.9,44.0,4.0,20.0,1.0
3,76.0,85.5,71.8,100.0,0.8,28.0,11.0,37.0,0.0
4,82.0,84.1,77.8,97.7,0.9,42.0,12.0,27.0,1.0
5,69.0,88.4,81.4,100.0,0.9,35.0,8.0,26.0,0.0
6,85.0,91.8,87.3,100.0,0.9,48.0,7.0,30.0,0.0
7,100.0,92.0,86.2,100.0,0.9,50.0,8.0,42.0,0.0
8,74.0,77.0,71.4,92.1,0.8,35.0,14.0,22.0,3.0
9,57.0,78.9,71.1,96.4,0.8,27.0,11.0,18.0,1.0
10,61.0,91.8,92.9,89.7,0.9,26.0,2.0,30.0,3.0
11,69.0,76.8,62.8,100.0,0.8,27.0,16.0,26.0,0.0
12,80.0,85.0,87.8,83.7,0.9,36.0,5.0,32.0,7.0
13,65.0,93.8,89.2,100.0,0.9,33.0,4.0,28.0,0.0
14,84.0,79.8,67.3,100.0,0.8,35.0,17.0,32.0,0.0
15,71.0,91.5,88.9,97.6,0.9,40.0,5.0,25.0,1.0
